Time,x,y,z,Speedbreaker,Pothole
63.401,0.27,3.87,8.27,0,0
63.463,0.46,3.87,8.31,0,0
63.525,0.3,4.1,8.24,0,0
63.591,-0.08,4.14,8.35,0,0
63.661,-0.19,4.1,8.05,0,0
63.731,0.3,3.99,8.27,0,0
63.801,0.61,3.91,8.39,0,0
63.871,0.27,4.02,8.58,0,0
63.942,0.08,4.06,8.16,0,0
64.011,-0.08,4.25,8.24,0,0
64.075,0.04,4.18,8.2,0,0
64.141,0.38,3.99,8.12,0,0
64.211,0.65,3.79,8.54,0,0
64.281,0.57,4.02,8.12,0,0
64.351,0.23,4.02,8.35,0,0
64.421,0.23,4.02,8.5,0,0
64.491,0.61,3.91,8.24,0,0
64.561,0.65,4.06,8.24,0,0
64.633,0.8,4.4,8.39,0,0
64.701,1.38,3.91,7.44,0,0
64.771,0.5,1.92,9.58,0,0
64.832,1.33,1.95,8.81,0,0
64.891,2.37,1.84,8.2,0,0
64.953,4.14,0.93,7.04,0,0
65.021,5.18,1.57,7.27,0,0
65.088,4.48,0.8,8.16,0,0
65.152,4.63,0,6.55,0,0
65.221,10.19,-0.95,5.56,0,0
65.292,5.18,-1.88,6.32,0,0
65.354,4.33,-0.65,3.49,0,0
65.432,-2.03,-2.34,11.6,0,0
65.511,-0.04,-0.69,8.24,0,0
65.571,1.14,-1.42,9.62,0,0
65.631,0.42,-1.04,8.66,0,0
65.693,0.72,-0.89,9.38,0,0
65.758,0.8,-0.69,9.08,0,0
65.82,0.65,-1.08,9.08,0,0
65.88,0.84,-0.91,9,0,0
65.943,0.76,-0.65,9.19,0,0
66.011,0.91,-0.72,9.04,0,0
66.075,0.89,-0.53,9.08,0,0
66.141,0.91,-0.72,9,0,0
66.203,0.95,-0.72,8.96,0,0
66.271,0.91,-0.76,9.08,0,0
66.353,0.91,-0.65,9.19,0,0
66.417,0.84,-0.61,9.15,0,0
66.482,0.89,-0.65,9.08,0,0
66.551,0.99,-0.65,9,0,0
66.613,1.14,-0.46,9.15,0,0
66.681,1.27,-0.42,8.88,0,0
66.747,0.95,-0.69,9.28,0,0
66.811,1.12,-0.89,8.85,0,0
66.883,0.91,-0.65,9.3,0,0
66.948,1.08,-0.42,8.88,0,0
67.013,1.12,-0.5,9.04,0,0
67.079,1.04,-0.72,9.08,0,0
67.141,1.14,-0.69,8.96,0,0
67.213,1.04,-0.72,9.11,0,0
67.277,1.42,-0.11,9.04,0,0
67.341,1.53,-0.34,8.58,0,0
67.403,1.23,-0.04,9.28,0,0
67.471,1.76,0.27,8.69,0,0
67.541,1.92,-0.3,9.04,0,0
67.611,1.76,0.04,9.11,0,0
67.681,1.8,-0.53,9.08,0,0
67.751,1.5,-0.38,8.85,0,0
67.823,1.53,-0.27,8.85,0,0
67.888,1.18,-0.61,9.08,0,0
67.953,1.5,-0.61,9.19,0,0
68.022,1.53,-0.19,8.85,0,0
68.099,1.65,-0.91,8.73,0,0
68.159,1.61,-0.8,8.96,0,0
68.221,1.42,-0.3,9,0,0
68.29,1.53,-0.27,8.81,0,0
68.361,1.5,-0.72,9,0,0
68.431,1.46,-0.61,8.92,0,0
68.501,1.8,-0.19,9,0,0
68.571,1.53,-0.89,8.85,0,0
68.642,1.65,-0.65,8.96,0,0
68.711,1.53,-0.65,9,0,0
68.783,1.73,-0.72,8.92,0,0
68.849,1.95,-0.53,8.85,0,0
68.913,2.11,-0.23,8.66,0,0
68.976,2.14,-0.15,8.88,0,0
69.039,2.22,-0.38,8.92,0,0
69.102,2.49,-0.46,8.92,0,0
69.171,2.68,-0.46,8.85,0,0
69.232,2.64,-0.84,9,0,0
69.306,2.68,-0.57,8.62,0,0
69.371,2.45,-0.42,9,0,0
69.442,2.87,-0.61,8.43,0,0
69.511,2.37,-0.89,9,0,0
69.572,2.75,-0.72,8.73,0,0
69.641,2.68,-0.84,8.69,0,0
69.713,2.64,-1.12,8.88,0,0
69.781,2.83,-1.53,8.81,0,0
69.843,2.11,-1.27,8.96,0,0
69.911,2.56,-1.04,8.31,0,0
69.977,2.41,-1.14,9.28,0,0
70.043,2.68,-1.46,8.35,0,0
70.113,2.56,-2.18,9.19,0,0
70.181,3.02,-1.69,8.47,0,0
70.249,1.53,-1.42,8.81,0,0
70.313,2.26,-1.42,7.86,0,0
70.381,1.8,-1.18,8.92,0,0
70.444,1.88,-1.46,8.73,0,0
70.508,2.11,-2.14,8.58,0,0
70.575,1.73,-1.57,9.19,0,0
70.635,2.07,-1.61,9.15,0,0
70.697,1.92,-2.22,8.66,0,0
70.762,0.99,-1.88,8.5,0,0
70.831,0.8,-1.99,9.49,0,0
70.901,0.95,-1.04,8.31,0,0
70.971,1.31,-1.08,9.7,0,0
71.042,1.53,-1.5,8.85,0,0
71.111,1.04,-1.12,8.96,0,0
71.181,1.42,-0.69,8.24,0,0
71.251,0.61,-0.76,9.28,0,0
71.321,0.65,-1.53,9.04,0,0
71.391,0.91,-0.76,8.96,0,0
71.461,0.91,-1.04,9.04,0,0
71.543,1.04,-1.18,9.23,0,0
71.612,1.42,-1.04,9.15,0,0
71.681,0.65,-0.69,8.81,0,0
71.744,0.57,-0.15,9.23,0,0
71.811,0.69,-0.53,8.69,0,0
71.881,0.61,-1.18,9.81,0,0
71.953,0.76,-1.18,9.72,0,0
72.018,0.61,-0.8,8.39,0,0
72.082,0.23,-0.04,9.19,0,0
72.151,0.91,0.38,9.11,0,0
72.213,0.72,-0.08,9.11,0,0
72.281,0.72,-0.34,9.08,0,0
72.348,-0.04,-0.19,9.66,0,0
72.413,1.27,-0.23,8.58,0,0
72.479,0.42,-1.46,10.08,0,0
72.542,1.04,-0.42,9.43,0,0
