time,x-axis,y-axis,z-axis,Speedbreaker,Pothole
1001.479 , 1.18 , 1.57 , 9.53,0,0
1001.543 , 1.57 , 2.96 , 7.2700000000000005,0,0
1001.611 , 0.9500000000000001 , 3.5300000000000002 , 10.69,0,0
1001.676 , 0.11 , 3.11 , 8.43,0,0
1001.7420000000001 , 1.42 , 2.5300000000000002 , 7.55,0,0
1001.8050000000001 , 3.02 , 3.3000000000000003 , 10.08,0,0
1001.871 , 2.07 , 3.2600000000000002 , 6.8500000000000005,0,0
1001.94 , 0.46 , 2.56 , 8.69,0,0
1002.009 , 0.11 , 3.38 , 9.11,0,0
1002.073 , 0.19 , 4.18 , 9.53,0,0
1002.1410000000001 , 2.22 , 2.64 , 7.78,0,0
1002.211 , 2.11 , 1.8800000000000001 , 8.92,0,0
1002.279 , 1.31 , 3.5300000000000002 , 8.47,0,0
1002.357 , 0.65 , 3.7600000000000002 , 8.73,0,0
1002.426 , 1.12 , 3.5700000000000003 , 8.39,0,0
1002.489 , 1.27 , 3.11 , 8.16,0,0
1002.5690000000001 , 0.89 , 2.41 , 8.540000000000001,0,0
1002.631 , 0.76 , 2.49 , 8.05,0,0
1002.6940000000001 , 0.99 , 2.72 , 8.58,0,0
1002.761 , 0.65 , 2.6 , 8.92,0,0
1002.8290000000001 , 1.04 , 2.41 , 8.540000000000001,0,0
1002.8910000000001 , 1.12 , 2.6 , 8.85,0,0
1002.9590000000001 , 0.72 , 2.6 , 8.620000000000001,0,0
1003.024 , 0.46 , 2.34 , 8.96,0,0
1003.092 , 0.9500000000000001 , 2.34 , 9.15,0,0
1003.16 , 0.72 , 1.8800000000000001 , 8.88,0,0
1003.229 , 0.42 , 1.5 , 8.2,0,0
1003.291 , 0.46 , 1.69 , 8.77,0,0
1003.359 , 0.3 , 1.99 , 8.88,0,0
1003.445 , 0.5700000000000001 , 1.73 , 9.34,0,0
1003.513 , 0.61 , 1.33 , 9.15,0,0
1003.5740000000001 , 0.84 , 1.54 , 8.24,0,0
1003.639 , 0.61 , 1.6500000000000001 , 8.96,0,0
1003.701 , 0.46 , 1.8 , 9.0,0,0
1003.767 , 0.46 , 1.54 , 8.5,0,0
1003.8290000000001 , 0.76 , 1.08 , 9.040000000000001,0,0
1003.89 , 1.08 , 1.08 , 8.88,0,0
1003.958 , 1.08 , 1.42 , 9.53,0,0
1004.022 , 0.65 , 1.57 , 8.69,0,0
1004.09 , 0.76 , 1.54 , 8.88,0,0
1004.158 , 0.5 , 1.3800000000000001 , 9.0,0,0
1004.221 , 0.5 , 1.18 , 9.81,0,0
1004.289 , 0.38 , 1.31 , 8.47,0,0
1004.3580000000001 , 0.27 , 1.23 , 9.89,0,0
1004.421 , 0.53 , 1.23 , 8.39,0,0
1004.489 , 0.42 , 1.42 , 9.28,0,0
1004.552 , 0.04 , 1.61 , 8.16,0,0
1004.619 , 0.5 , 1.33 , 9.92,0,0
1004.681 , 0.8 , 1.23 , 9.47,0,0
1004.749 , 0.84 , 1.31 , 9.620000000000001,0,0
1004.811 , 1.1400000000000001 , 1.31 , 8.43,0,0
1004.871 , 1.3800000000000001 , 1.5 , 8.66,0,0
1004.932 , 1.3800000000000001 , 1.8 , 9.620000000000001,0,0
1004.996 , 1.08 , 3.02 , 8.620000000000001,0,0
1005.064 , 1.18 , 1.95 , 9.040000000000001,0,0
1005.1320000000001 , 1.8 , 1.23 , 8.96,0,0
1005.2 , 1.42 , 2.07 , 8.58,0,0
1005.269 , 0.99 , 2.0300000000000002 , 8.35,0,0
1005.331 , 0.65 , 1.5 , 9.28,0,0
1005.399 , 0.72 , 1.92 , 9.0,0,0
1005.462 , 0.8 , 1.84 , 9.43,0,0
1005.53 , 1.27 , 1.57 , 8.2,0,0
1005.5980000000001 , 1.08 , 1.69 , 9.38,0,0
1005.666 , 1.27 , 1.54 , 8.85,0,0
1005.735 , 1.73 , 1.42 , 9.0,0,0
1005.797 , 1.61 , 1.3800000000000001 , 8.69,0,0
1005.861 , 1.53 , 1.57 , 8.58,0,0
1005.9300000000001 , 2.11 , 1.27 , 8.66,0,0
1006.0 , 2.0300000000000002 , 1.12 , 8.39,0,0
1006.061 , 2.07 , 1.18 , 9.28,0,0
1006.1220000000001 , 1.69 , 1.08 , 8.5,0,0
1006.188 , 2.11 , 0.93 , 9.0,0,0
1006.25 , 1.8800000000000001 , 1.12 , 8.66,0,0
1006.318 , 2.0300000000000002 , 1.5 , 8.96,0,0
1006.3820000000001 , 2.3000000000000003 , 1.27 , 8.540000000000001,0,0
1006.452 , 2.34 , 1.08 , 9.15,0,0
1006.52 , 2.5300000000000002 , 1.1400000000000001 , 8.47,0,0
1006.588 , 2.83 , 0.76 , 8.96,0,0
1006.6510000000001 , 2.96 , 0.5700000000000001 , 9.08,0,0
1006.721 , 3.02 , 0.8 , 9.040000000000001,0,0
1006.7900000000001 , 2.41 , 0.72 , 8.58,0,0
1006.8580000000001 , 2.87 , 0.5700000000000001 , 9.19,0,0
1006.921 , 2.79 , 0.93 , 8.81,0,0
1006.989 , 2.34 , 0.93 , 8.39,0,0
1007.053 , 2.68 , 0.53 , 9.11,0,0
1007.12 , 2.5300000000000002 , 0.84 , 9.38,0,0
1007.188 , 2.41 , 0.8 , 8.08,0,0
1007.251 , 2.2600000000000002 , 0.76 , 9.11,0,0
1007.32 , 3.06 , 0.53 , 8.92,0,0
1007.388 , 3.06 , 0.5 , 10.0,0,0
