time,x-axis,y-axis,z-axis,Event1,Event2
905.415 , 5.28 , 3.56 , 7.46,0,0
905.4780000000001 , 5.36 , 3.52 , 7.66,0,0
905.542 , 5.13 , 3.71 , 7.66,0,0
905.605 , 4.98 , 3.75 , 7.62,0,0
905.6700000000001 , 4.9 , 3.68 , 7.8500000000000005,0,0
905.734 , 4.79 , 3.64 , 7.8500000000000005,0,0
905.797 , 4.9 , 3.64 , 7.96,0,0
905.86 , 4.79 , 3.68 , 7.58,0,0
905.924 , 4.82 , 3.64 , 8.0,0,0
905.987 , 4.9 , 3.68 , 8.0,0,0
906.051 , 4.79 , 3.64 , 7.5,0,0
906.114 , 4.98 , 3.75 , 7.69,0,0
906.178 , 4.86 , 3.87 , 7.92,0,0
906.241 , 4.9 , 3.52 , 7.8500000000000005,0,0
906.3050000000001 , 5.24 , 3.25 , 7.62,0,0
906.368 , 5.24 , 3.41 , 7.43,0,0
906.432 , 5.36 , 3.48 , 7.69,0,0
906.495 , 5.28 , 3.52 , 7.12,0,0
906.559 , 5.55 , 3.56 , 7.7700000000000005,0,0
906.6220000000001 , 5.47 , 3.56 , 7.54,0,0
906.6850000000001 , 5.28 , 3.18 , 7.24,0,0
906.749 , 5.47 , 3.18 , 7.890000000000001,0,0
906.812 , 5.17 , 3.33 , 7.890000000000001,0,0
906.876 , 5.21 , 3.06 , 7.92,0,0
906.939 , 5.24 , 2.99 , 7.8500000000000005,0,0
907.0020000000001 , 5.24 , 3.14 , 7.890000000000001,0,0
907.066 , 4.98 , 3.1 , 7.5,0,0
907.129 , 4.75 , 2.72 , 7.8100000000000005,0,0
907.192 , 4.44 , 2.22 , 8.5,0,0
907.256 , 4.5600000000000005 , 1.45 , 8.96,0,0
907.3190000000001 , 4.33 , 1.9100000000000001 , 7.96,0,0
907.3820000000001 , 4.33 , 2.3000000000000003 , 8.23,0,0
907.446 , 4.4 , 2.3000000000000003 , 8.23,0,0
907.509 , 4.63 , 1.9100000000000001 , 8.38,0,0
907.573 , 4.59 , 1.8800000000000001 , 8.23,0,0
907.636 , 4.5200000000000005 , 1.95 , 8.0,0,0
907.7 , 4.63 , 2.0300000000000002 , 8.35,0,0
907.763 , 4.79 , 2.11 , 8.61,0,0
